fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,id
6,0.59,0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9,Low,1779
7.3,0.26,0.32,1.2,0.041,29,94,0.98978,3.07,0.45,12,Low,1780
7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,Low,1781
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,Low,1782
6.7,0.17,0.5,2.1,0.043,27,122,0.9923,3.15,0.45,10.3,Low,1783
6.2,0.35,0.29,3.9,0.041,22,79,0.99005,3.1,0.59,12.0666666666667,Low,1784
6.2,0.16,0.54,1.4,0.126,37,110,0.9932,3.23,0.37,8.9,Low,1785
7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,Low,1786
6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,High,1787
6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6,Low,1788
7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,Low,1789
7.1,0.33,0.3,3.3,0.034,30,102,0.9912,3.08,0.31,12.3,High,1790
7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,Low,1791
6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,Low,1792
5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,Low,1793
5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,Low,1794
5.8,0.23,0.31,3.5,0.044,35,158,0.98998,3.19,0.37,12.1,High,1795
6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,Low,1796
6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13,High,1797
6.2,0.2,0.32,2.8,0.05,17,126,0.9936,3.18,0.55,9.4,Low,1798
8,0.43,0.4,12.4,0.168,29,190,0.9991,3.07,0.64,9.2,Low,1799
7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11,High,1800
7.2,0.14,0.32,1.1,0.022,48,116,0.99218,3.04,0.67,10,Low,1801
6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,Low,1802
5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,Low,1803
6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,Low,1804
7.6,0.17,0.35,1.6,0.047,43,154,0.9934,3.36,0.69,11.1,Low,1805
7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,Low,1806
6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7,High,1807
7.5,0.29,0.36,15.7,0.05,29,124,0.9968,3.06,0.54,10.4,Low,1808
5.6,0.19,0.46,1.1,0.032,33,115,0.9909,3.36,0.5,10.4,Low,1809
6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8,Low,1810
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,High,1811
5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,High,1812
6.9,0.4,0.3,10.6,0.033,24,87,0.99265,3.15,0.45,12.8,Low,1813
7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,Low,1814
6.6,0.13,0.3,4.9,0.058,47,131,0.9946,3.51,0.45,10.3,Low,1815
7.6,0.25,1.23,4.6,0.035,51,294,0.99018,3.03,0.43,13.1,Low,1816
6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9,Low,1817
6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,Low,1818
6.8,0.475,0.33,3.95,0.047,16,81,0.98988,3.23,0.53,13.4,High,1819
5.4,0.5,0.13,5,0.028,12,107,0.99079,3.48,0.88,13.5,High,1820
7,0.19,0.33,6.3,0.032,42,127,0.99182,3.31,0.38,12.2,Low,1821
6.7,0.14,0.51,4.3,0.028,57,124,0.99176,2.91,0.54,10.7,High,1822
6.6,0.56,0.16,3.1,0.045,28,92,0.994,3.12,0.35,9.1,Low,1823
6.3,0.29,0.23,14.2,0.037,24,99,0.99528,3.08,0.38,10.6,Low,1824
6.8,0.32,0.32,8.7,0.029,31,105,0.99146,3,0.34,12.3,High,1825
5.9,0.23,0.28,8.6,0.046,37,142,0.99432,3.23,0.53,10.6,Low,1826
7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,Low,1827
7.8,0.27,0.34,1.6,0.046,27,154,0.9927,3.05,0.45,10.5,Low,1828
5.8,0.22,0.25,1.5,0.024,21,109,0.99234,3.37,0.58,10.4,Low,1829
8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,Low,1830
8.2,0.21,0.48,1.4,0.041,11,99,0.9958,3.17,0.57,9.9,Low,1831
7.4,0.24,0.4,4.3,0.032,9,95,0.992,3.09,0.39,11.1,Low,1832
8.2,0.23,0.29,1.8,0.047,47,187,0.9933,3.13,0.5,10.2,Low,1833
6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,Low,1834
5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1,Low,1835
5.7,0.265,0.28,6.9,0.036,46,150,0.99299,3.36,0.44,10.8,High,1836
7.5,0.305,0.38,1.4,0.047,30,95,0.99158,3.22,0.52,11.5,High,1837
6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,Low,1838
7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,Low,1839
6.3,0.25,0.27,6.6,0.054,40,158,0.99378,3.2,0.48,10.3,Low,1840
6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,High,1841
8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,Low,1842
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,High,1843
6.5,0.21,0.35,5.7,0.043,47,197,0.99392,3.24,0.5,10.1,Low,1844
4.7,0.785,0,3.4,0.036,23,134,0.98981,3.53,0.92,13.8,Low,1845
6.9,0.31,0.32,1.6,0.036,34,114,0.99068,3.19,0.45,11.4,High,1846
7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,Low,1847
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,Low,1848
6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,Low,1849
6.5,0.34,0.36,11,0.052,53,247,0.9984,3.44,0.55,9.3,Low,1850
7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,Low,1851
6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,Low,1852
5.4,0.375,0.4,3.3,0.054,29,147,0.99482,3.42,0.52,9.1,Low,1853
6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,High,1854
7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,Low,1855
7,0.4,0.25,1.8,0.05,51,189,0.99174,3,0.55,11.4,Low,1856
6.7,0.21,0.48,14.8,0.05,31,195,0.99942,2.95,0.75,8.8,Low,1857
6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,Low,1858
6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,Low,1859
7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,Low,1860
7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,Low,1861
6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,Low,1862
6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,Low,1863
6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,High,1864
6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,Low,1865
5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,High,1866
6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,Low,1867
6.5,0.22,0.31,3.9,0.046,17,106,0.99098,3.15,0.31,11.5,Low,1868
8.1,0.3,0.49,8.1,0.037,26,174,0.9943,3.1,0.3,11.2,High,1869
7.3,0.26,0.53,12.7,0.047,60.5,164.5,0.9984,3.06,0.45,9.1,Low,1870
6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,Low,1871
6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6,Low,1872
5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,Low,1873
8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5,Low,1874
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,Low,1875
7.6,0.2,0.34,1.8,0.041,42,148,0.99335,3.35,0.66,11.1,Low,1876
6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,High,1877
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,Low,1878
8,0.36,0.39,1.6,0.024,26,93,0.99116,3.15,0.49,11.9,Low,1879
6.9,0.26,0.33,12.6,0.051,59,173,0.998,3.39,0.38,9.9,Low,1880
6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,High,1881
6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,High,1882
6,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10,Low,1883
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,Low,1884
6.8,0.29,0.32,1.8,0.032,18,130,0.99095,3.05,0.62,11.2,Low,1885
6.2,0.45,0.73,7.2,0.099,47,202,0.99582,3.21,0.43,9.2,Low,1886
7.6,0.23,0.64,12.9,0.033,54,170,0.998,3,0.53,8.8,Low,1887
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,Low,1888
6.8,0.26,0.46,8.3,0.037,49,173,0.99601,3.17,0.47,9.3,Low,1889
6.7,0.3,0.74,5,0.038,35,157,0.9945,3.21,0.46,9.9,Low,1890
7.6,0.16,0.41,1.9,0.047,27,151,0.9937,3.2,0.53,10.1,Low,1891
7.2,0.17,0.41,1.6,0.052,24,126,0.99228,3.19,0.49,10.8,Low,1892
6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,High,1893
7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,Low,1894
6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5,Low,1895
6.9,0.23,0.34,2.7,0.032,24,121,0.9902,3.14,0.38,12.4,High,1896
7.4,0.24,0.31,8.4,0.045,52,183,0.9963,3.09,0.32,8.8,Low,1897
5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,High,1898
6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,Low,1899
6.5,0.19,0.27,4.9,0.037,13,101,0.9916,3.17,0.41,11.8,Low,1900
6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,Low,1901
6,0.19,0.29,1.1,0.047,67,152,0.9916,3.54,0.59,11.1,High,1902
7.6,0.13,0.34,9.3,0.062,40,126,0.9966,3.21,0.39,9.6,Low,1903
5.7,0.2,0.24,13.8,0.047,44,112,0.99837,2.97,0.66,8.8,Low,1904
6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,Low,1905
6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,Low,1906
6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,High,1907
8.2,0.31,0.43,7,0.047,18,87,0.99628,3.23,0.64,10.6,Low,1908
8.2,0.26,0.33,2.6,0.053,11,71,0.99402,2.89,0.49,9.5,Low,1909
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,Low,1910
6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,Low,1911
6.1,0.21,0.19,1.4,0.046,51,131,0.99184,3.22,0.39,10.5,Low,1912
6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,Low,1913
6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,Low,1914
8.3,0.4,0.38,1.1,0.038,15,75,0.9934,3.03,0.43,9.2,Low,1915
7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,High,1916
6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,Low,1917
5.9,0.34,0.3,3.8,0.035,57,135,0.99016,3.09,0.34,12,Low,1918
6.4,0.35,0.28,12.6,0.039,19,124,0.99539,3.2,0.43,10.6,Low,1919
7.1,0.21,0.33,1.2,0.039,34,97,0.99112,3.11,0.75,11.2,Low,1920
6.3,0.3,0.19,7.7,0.049,47,184,0.99514,3.22,0.48,9.5,Low,1921
6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,High,1922
6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,Low,1923
5.8,0.29,0.33,3.7,0.029,30,88,0.98994,3.25,0.42,12.3,Low,1924
6.8,0.32,0.28,4.8,0.034,25,100,0.99026,3.08,0.47,12.4,High,1925
8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,Low,1926
5.7,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,Low,1927
6.9,0.19,0.28,3,0.054,33,99,0.9924,3.16,0.4,10.8,Low,1928
7.9,0.12,0.49,5.2,0.049,33,152,0.9952,3.18,0.47,10.6,Low,1929
7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,Low,1930
7.4,0.22,0.26,1.2,0.035,18,97,0.99245,3.12,0.41,9.7,Low,1931
6.9,0.26,0.27,4.2,0.031,20,80,0.99089,3.12,0.39,11.5,Low,1932
7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,High,1933
8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,Low,1934
8.5,0.3,0.28,3.1,0.054,54,174,0.99543,3.21,0.43,9.4,Low,1935
6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,Low,1936
6.4,0.24,0.5,11.6,0.047,60,211,0.9966,3.18,0.57,9.3,Low,1937
7.8,0.21,0.49,1.35,0.052,6,48,0.9911,3.15,0.28,11.4,Low,1938
6.5,0.2,0.5,18.1,0.054,50,221,0.99941,2.94,0.64,8.8,Low,1939
6,0.38,0.26,6,0.034,42,134,0.9912,3.38,0.38,12.3,High,1940
6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,Low,1941
6.9,0.31,0.34,1.6,0.032,23,128,0.9917,3.37,0.47,11.7,Low,1942
7.3,0.43,0.37,4.6,0.028,17,114,0.991,3.23,0.43,13.2,Low,1943
6.3,0.28,0.47,11.2,0.04,61,183,0.99592,3.12,0.51,9.5,Low,1944
8.3,0.33,0.43,9.2,0.046,22,126,0.9982,3.38,0.47,9.3,Low,1945
8.2,0.24,0.49,9.3,0.038,52,163,0.9952,3.02,0.33,10.6,Low,1946
6.7,0.21,0.34,1.4,0.049,36,112,0.99091,3.02,0.5,11,Low,1947
6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,Low,1948
7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,Low,1949
6.7,0.26,0.51,8,0.062,50,194,0.99545,3.13,0.5,9.6,Low,1950
7.6,0.32,0.35,1.6,0.092,24,138,0.99438,3.19,0.44,9.8,Low,1951
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,Low,1952
4.8,0.26,0.23,10.6,0.034,23,111,0.99274,3.46,0.28,11.5,High,1953
6.4,0.46,0.22,14.7,0.047,51,183,0.998275,3.39,0.6,10.5,Low,1954
6.5,0.34,0.46,1,0.023,6,80,0.98865,3.15,0.54,12.9,Low,1955
8.3,0.22,0.34,1.1,0.043,20,116,0.9927,3,0.47,10.2,Low,1956
7.9,0.18,0.36,5.9,0.058,31,132,0.995,3.25,0.52,10.9,Low,1957
8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1,Low,1958
5.5,0.24,0.32,8.7,0.06,19,102,0.994,3.27,0.31,10.4,Low,1959
6.2,0.28,0.57,1,0.043,50,92,0.99004,3.17,0.36,11.5,Low,1960
7.1,0.44,0.23,5.8,0.035,24,100,0.99062,3.15,0.57,13.2,High,1961
6.4,0.38,0.19,4.5,0.038,36,119,0.99151,3.07,0.42,11.2,Low,1962
6.8,0.37,0.28,4,0.03,29,79,0.99,3.23,0.46,12.4,High,1963
6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6,Low,1964
6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,High,1965
7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,High,1966
6.7,0.26,0.26,4.1,0.073,36,202,0.9956,3.3,0.67,9.5,Low,1967
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,Low,1968
6.1,0.36,0.16,6.4,0.037,36,198,0.9944,3.17,0.62,9.9,Low,1969
7.3,0.23,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2,High,1970
6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,High,1971
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,High,1972
6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,Low,1973
6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,Low,1974
5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12,Low,1975
7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,Low,1976
8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,Low,1977
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,Low,1978
8.4,0.2,0.31,2.8,0.054,16,89,0.99416,2.96,0.45,9.5,Low,1979
6.2,0.24,0.27,2.9,0.039,30,123,0.98959,3.12,0.37,12.8,Low,1980
6.8,0.23,0.32,8.6,0.046,47,159,0.99452,3.08,0.52,10.5,Low,1981
7.6,0.18,0.28,7.1,0.041,29,110,0.99652,3.2,0.42,9.2,Low,1982
6.6,0.425,0.25,2.35,0.034,23,87,0.99082,3.05,0.41,11.4,Low,1983
6.6,0.34,0.34,2.6,0.051,40.5,210,0.99314,3.15,0.61,10,Low,1984
6.4,0.33,0.28,4,0.04,24,81,0.9903,3.26,0.64,12.6,High,1985
6.2,0.3,0.42,2.2,0.036,28,128,0.9901,3.13,0.38,11.6,Low,1986
6.7,0.12,0.36,2.3,0.039,43,125,0.99229,3.07,0.67,10.1,High,1987
7.5,0.38,0.29,12.7,0.05,25,209,0.9986,3.25,0.59,9.3,Low,1988
6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,High,1989
5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,Low,1990
6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,High,1991
7.3,0.17,0.36,8.2,0.028,44,111,0.99272,3.14,0.41,12.4,Low,1992
9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,Low,1993
6.3,0.17,0.32,1,0.04,39,118,0.98886,3.31,0.4,13.1,High,1994
7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,Low,1995
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,Low,1996
7.1,0.3,0.46,1.5,0.066,29,133,0.9906,3.12,0.54,12.7,Low,1997
6.4,0.13,0.28,0.9,0.045,32,87,0.99175,3.47,0.52,11.2,Low,1998
7.7,0.16,0.49,2,0.056,20,124,0.9948,3.32,0.49,10.7,Low,1999
8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,Low,2000
6,0.26,0.32,3.5,0.028,29,113,0.9912,3.4,0.71,12.3,High,2001
8.1,0.2,0.36,9.7,0.044,63,162,0.997,3.1,0.46,10,Low,2002
5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,Low,2003
5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,Low,2004
6.3,0.26,0.24,7.2,0.039,38,172,0.9958,3.49,0.64,9.7,Low,2005
6.6,0.41,0.16,1.4,0.037,28,160,0.99167,2.95,0.45,10.6,Low,2006
6.8,0.31,0.25,10.5,0.043,30,165,0.9972,3.36,0.55,10.55,Low,2007
8,0.25,0.49,1.2,0.061,27,117,0.9938,3.08,0.34,9.4,Low,2008
6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,Low,2009
7.1,0.43,0.25,2.8,0.036,43,132,0.98975,3.21,0.47,13.4,Low,2010
6.4,0.37,0.49,13.3,0.045,53,243,0.9982,3.14,0.48,8.5,Low,2011
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,Low,2012
6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,High,2013
6.6,0.52,0.44,12.2,0.048,54,245,0.9975,3.26,0.54,9.3,Low,2014
6.1,0.6,0.12,1.8,0.05,11,76,0.99268,3.42,0.48,10.4,Low,2015
5.9,0.37,0.14,6.3,0.036,34,185,0.9944,3.17,0.63,9.8,Low,2016
5.7,0.16,0.32,1.2,0.036,7,89,0.99111,3.26,0.48,11,Low,2017
6.3,0.21,0.33,13.9,0.046,68,179,0.9971,3.36,0.5,10.4,Low,2018
7,0.17,0.37,5.7,0.025,29,111,0.9938,3.2,0.49,10.8,Low,2019
6.4,0.15,0.4,1.3,0.053,61,146,0.99112,3.17,0.68,11,Low,2020
6.8,0.19,0.58,14.2,0.038,51,164,0.9975,3.12,0.48,9.6,Low,2021
7.7,0.3,0.23,2,0.068,28,138,0.99382,3.11,0.62,9.8,Low,2022
7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8,Low,2023
8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,Low,2024
5.9,0.34,0.25,2,0.042,12,110,0.99034,3.02,0.54,11.4,Low,2025
6.1,0.24,0.27,11.5,0.05,51,133,0.99476,3.22,0.37,10.8,Low,2026
6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,Low,2027
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,Low,2028
6.1,0.2,0.4,1.9,0.028,32,138,0.9914,3.26,0.72,11.7,Low,2029
6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,Low,2030
7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,Low,2031
6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,Low,2032
6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5,Low,2033
7.6,0.19,0.42,1.5,0.044,6,114,0.9914,3.04,0.74,12.8,Low,2034
9.2,0.14,0.37,1.1,0.034,36,84,0.99136,3.05,0.55,11.6,Low,2035
7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,High,2036
7,0.2,0.38,8.1,0.05,42,173,0.99585,3.3,0.54,9.8,Low,2037
7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,High,2038
7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,Low,2039
6,0.26,0.15,1.3,0.06,51,154,0.99354,3.14,0.51,8.7,Low,2040
7.2,0.31,0.41,8.6,0.053,15,89,0.9976,3.29,0.64,9.9,Low,2041
7,0.23,0.28,2.7,0.053,16,92,0.99372,3.18,0.56,9.3,Low,2042
6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,High,2043
6.4,0.27,0.17,8.4,0.044,60,198,0.99578,3.21,0.47,9.4,Low,2044
7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,Low,2045
6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,Low,2046
7.1,0.29,0.49,1.2,0.031,32,99,0.9893,3.07,0.33,12.2,Low,2047
7.5,0.28,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3,High,2048
6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,High,2049
7.9,0.28,0.41,4.9,0.058,31,153,0.9966,3.27,0.51,9.7,Low,2050
5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,High,2051
7,0.12,0.28,6.3,0.057,17,103,0.9957,3.5,0.44,9.6,Low,2052
6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,Low,2053
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,Low,2054
8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,Low,2055
7,0.24,0.36,4.9,0.083,10,133,0.9942,3.33,0.37,10.8,Low,2056
6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,Low,2057
6.2,0.2,0.26,1.1,0.047,42,119,0.99158,3.48,0.6,11,High,2058
7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,Low,2059
6.8,0.27,0.28,7.8,0.038,26,89,0.9915,3.24,0.34,12.5,Low,2060
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,Low,2061
6.2,0.21,0.29,1.6,0.039,24,92,0.99114,3.27,0.5,11.2,Low,2062
6.6,0.24,0.33,10.1,0.032,8,81,0.99626,3.19,0.51,9.8,Low,2063
5.9,0.24,0.34,2,0.037,40,108,0.98948,3.19,0.5,12.3,Low,2064
7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,Low,2065
6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,Low,2066
5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,Low,2067
6.1,0.22,0.4,1.85,0.031,25,111,0.98966,3.03,0.3,11.8,High,2068
6.3,0.32,0.26,12,0.049,63,170,0.9961,3.14,0.55,9.9,Low,2069
5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,Low,2070
8.8,0.2,0.28,1.1,0.018,18,72,0.9926,2.97,0.35,10.4,Low,2071
6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,Low,2072
6.6,0.24,0.3,13,0.052,18,143,0.99825,3.37,0.49,9.4,Low,2073
7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,Low,2074
5.8,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,Low,2075
7.3,0.27,0.3,1.3,0.04,26,84,0.99222,3.28,0.53,10.7,Low,2076
6.3,0.22,0.27,4.5,0.036,81,157,0.9928,3.05,0.76,10.7,High,2077
7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9,Low,2078
6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9,Low,2079
